Latitude,Longitude
42.442642,-76.486631
42.442464,-76.476098
42.434892,-76.464653
42.433695,-76.463842
42.449351,-76.477548
42.44775,-76.466187
42.453871,-76.478239
42.453968,-76.478138
42.454515,-76.477361
42.454314,-76.476428
42.453858,-76.476331
42.453737,-76.476031
42.444697,-76.484441
42.446199,-76.482925
42.448398,-76.485286
42.449628,-76.483692
42.450344,-76.483373
42.444986,-76.483051
42.445403,-76.474614
42.447837,-76.473816
42.44826,-76.474569
42.448457,-76.475679
42.447859,-76.475616
42.449132,-76.477495
42.44965,-76.47826
42.449306,-76.479305
42.450342,-76.479294
42.448006,-76.480035
42.453186,-76.479003
42.448942,-76.489878
42.44862,-76.48946
42.445236,-76.484454
42.444144,-76.48346
42.444214,-76.482088
42.455607,-76.471145
42.454092,-76.482348
42.457228,-76.482083
42.446523,-76.480909
42.443197,-76.475428
42.449064,-76.491726
42.446678,-76.471794
42.44914,-76.474068
42.445341,-76.477644
42.449638,-76.47934
42.445854,-76.47853
42.447012,-76.477977
42.447528,-76.477249
42.447436,-76.482121
42.447432,-76.482295
42.452181,-76.480349
42.449612,-76.480235
42.444811,-76.484453
42.450309,-76.485517
42.447842,-76.484973
42.442547,-76.485412
42.447938,-76.485133
42.446873,-76.488124
42.446645,-76.488386
42.446656,-76.487832
42.446796,-76.488845
42.448963,-76.488088
42.449035,-76.479865
42.445044,-76.486038
42.447122,-76.488807
42.446506,-76.47848
42.447971,-76.488444
42.447452,-76.48228
42.447443,-76.482553
42.444667,-76.473468
42.451128,-76.483134
42.446994,-76.482889
42.44785,-76.483687
42.448488,-76.483686
42.450845,-76.484873
42.448829,-76.485206
42.446811,-76.484735
42.446329,-76.485154
42.44603,-76.484803
42.445847,-76.485318
42.445587,-76.483534
42.446852,-76.483677
42.446868,-76.483738
42.44992,-76.47972
42.450166,-76.480125
42.45015,-76.480158
42.450639,-76.481183
42.449624,-76.481076
42.448413,-76.480322
42.448486,-76.481129
42.448819,-76.482099
42.448745,-76.48203
42.449411,-76.482152
42.446945,-76.482211
42.446942,-76.48214
42.446663,-76.481269
42.445793,-76.481856
42.445647,-76.482498
42.447448,-76.481056
42.447715,-76.479996
42.44678,-76.478024
42.446443,-76.479179
42.446387,-76.479179
42.44785,-76.479625
42.448398,-76.479657
42.448517,-76.479391
42.447388,-76.478567
42.446012,-76.471744
42.448157,-76.475534
42.448128,-76.477861
42.44861,-76.476714
42.449109,-76.476652
42.446145,-76.471747
42.446374,-76.471558
42.447256,-76.471771
42.447421,-76.470777
42.447283,-76.469587
42.447225,-76.468022
42.448337,-76.467767
42.448669,-76.468465
42.443926,-76.485428
42.443866,-76.486164
42.443761,-76.486384
42.444929,-76.484164
42.444345,-76.484482
42.44344,-76.48482
42.44356,-76.484626
42.443866,-76.485004
42.444034,-76.48498
42.44413,-76.483867
42.443704,-76.4815
42.443737,-76.483165
42.445236,-76.473428
42.445364,-76.476189
42.445365,-76.476749
42.445065,-76.479424
42.445871,-76.479941
42.445738,-76.479679
42.447459,-76.474085
42.443337,-76.479435
42.447345,-76.466634
42.447497,-76.461027
42.446816,-76.465046
42.446847,-76.464934
42.4477,-76.488053
42.447358,-76.488046
42.44795,-76.488202
42.448179,-76.488183
42.448412,-76.488368
42.448512,-76.488161
42.448792,-76.488132
42.448899,-76.488273
42.44895,-76.488561
42.455266,-76.477735
42.455126,-76.477735
42.454829,-76.477934
42.454152,-76.479073
42.455047,-76.47928
42.45552,-76.478222
42.455964,-76.477948
42.456038,-76.480088
42.456292,-76.476973
42.456107,-76.476505
42.456149,-76.476041
42.456014,-76.475887
42.456139,-76.4752
42.456176,-76.475579
42.455846,-76.475934
42.455552,-76.475964
42.455534,-76.476448
42.455213,-76.476301
42.456245,-76.477644
42.45599,-76.477058
42.456439,-76.481077
42.457095,-76.476334
42.457106,-76.475631
42.456292,-76.471697
42.456151,-76.472032
42.453175,-76.477615
42.45296,-76.479904
42.452758,-76.481434
42.458088,-76.483667
42.453439,-76.486718
