Name,Category,ImageURL,Address,Latitude,Longitude,Notes,AKA
A-Lot Staff Parking,Parking,,,42.45844166666667,-76.47668888888889,A Lot,
A. D. White Gardens,Plantations,http://images.localist.com/photo/000/016/496/huge/HFBeKgfQSJjcd_ML.jpg?1298662352,,42.44780277777777,-76.48188888888889,Plantations,
A. D. White House,Central Campus,http://images.localist.com/photo/000/016/497/huge/Hg3hgSjMo0ohzVvM.jpg?1298662357,,42.44827539927017,-76.48199256088425,A. D. White House,
AAP Downtown Facility,Near Campus,,,42.44296111111111,-76.51018611111111,531 Esty St.,
AAP New York City Center,NYC,,,40.73868611111111,-73.99462375719648,"AAP NYC; 50 West 17th St., New York, NY",
AAP in Rome,World,http://images.localist.com/images/main/business_huge.png?1340747100,,41.89516666666667,12.47551388888889,Palazzo Lazzaroni;Cornell in Rome; QuickWorld; http://aap.cornell.edu/rome/,
Acacia,Greek,,"318 Highland Road, Ithaca, NY 14850",42.45871,-76.48725899999999,Greek: IFC,
Academic Surge Facility A,Ag,,"222 Tower Rd, Ithaca, NY 14850",42.448307,-76.47831600000001,,
Academic Surge Facility B,Ag,,"220 Tower Rd, Ithaca, NY 14850",42.448063,-76.478309,,
Africana Studies and Research Center,North Campus,http://images.localist.com/photo/000/016/498/huge/rRwo2mnBsnGAeAV_.jpg?1298662363,,42.45742908810382,-76.48233306045474,John Henrik Clarke Library,
Ag Quad,Areas and Features,http://images.localist.com/photo/000/016/499/huge/GL2faSBBidUZ9uTB.jpg?1298662368,,42.44874223637841,-76.47859920035884,,
Agriculture Waste Management Laboratory,East Campus,,"236 Gallus Rd, Ithaca, NY 14850",42.444322,-76.45227800000001,,
Albany/Court,Carshare,,,42.4420013,-76.5018005,,
Alpha Chi Omega,Greek,,"509 Wyckoff Road, Ithaca, NY 14850",42.457199,-76.487083,Greek: Panhellenic,
Alpha Delta Phi,Greek,,"777 Stewart Avenue, Ithaca, NY 14850",42.450802,-76.4898,Greek: IFC,
Alpha Epsilon Phi,Greek,,"435 Wyckoff Ave Ithaca, NY 14850",42.456589,-76.48542,Greek: Panhellenic,
Alpha Epsilon Pi,Greek,,"140 Thurston Ave., Ithaca, NY 14850",42.454239,-76.48828899999999,Greek: IFC,
Alpha Gamma Rho,Greek,,"203 Highland Ave., Ithaca, NY 14850",42.455681,-76.48519899999999,Greek: IFC,
Alpha Phi,Greek,,"411 Thurston Ave., Ithaca, NY 14850",42.453281,-76.483879,Greek: Panhellenic,
Alpha Sigma Phi,Greek,,"804 Stewart Ave., Ithaca, NY 14850",42.452129,-76.49073,Greek: IFC,
Alpha Xi Delta,Greek,,"40 Ridgewood, Ithaca, NY 14850",42.45538,-76.48967,Greek: Panhellenic,
Alpha Zeta,Greek,,"214 Thurston Ave., Ithaca, NY 14850",42.454121,-76.487228,Greek: IFC,
"Alumni Affairs and Development, Ithaca",Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44064709196398,-76.4975857737418,"130 E. Seneca St., Ithaca, NY 14850",
