labels,links,category,Latitude,Longitude
ACACIA,https://orgsync.com/121644/chapter,Interfraternity Council,42.4586036,-76.489127
Alpha Delta Phi,https://orgsync.com/121645/chapter,Interfraternity Council,42.4502219,-76.4917276
Alpha Epsilon Pi,https://orgsync.com/121646/chapter,Interfraternity Council,42.4540142,-76.4900639
Alpha Gamma Rho,https://orgsync.com/121647/chapter,Interfraternity Council,42.4557758,-76.4877388
Alpha Phi Delta,https://orgsync.com/121648/chapter,Interfraternity Council,42.483,-76.44702
Alpha Sigma Phi,https://orgsync.com/121649/chapter,Interfraternity Council,42.4521457,-76.4930897
Alpha Zeta,https://orgsync.com/121650/chapter,Interfraternity Council,42.454119,-76.4894237
Beta Theta Pi,https://orgsync.com/121651/chapter,Interfraternity Council,42.4558816,-76.4916989
Chi Phi,https://orgsync.com/121653/chapter,Interfraternity Council,42.443698,-76.490971
Delta Chi,https://orgsync.com/121654/chapter,Interfraternity Council,42.4529883,-76.4909266
Delta Phi,https://orgsync.com/121656/chapter,Interfraternity Council,42.4467306,-76.4940093
Delta Tau Delta,https://orgsync.com/121657/chapter,Interfraternity Council,42.4454083,-76.491215
Delta Upsilon,https://orgsync.com/121658/chapter,Interfraternity Council,42.4452216,-76.4892434
Kappa Alpha,https://orgsync.com/121660/chapter,Interfraternity Council,42.483,-76.44702
Kappa Delta Rho,https://orgsync.com/121661/chapter,Interfraternity Council,42.4576611,-76.4889061
Kappa Sigma,https://orgsync.com/121662/chapter,Interfraternity Council,42.4497605,-76.4935841
Lambda Chi Alpha,https://orgsync.com/121663/chapter,Interfraternity Council,42.4435775,-76.4899733
Phi Delta Theta,https://orgsync.com/121664/chapter,Interfraternity Council,42.4549374,-76.4919368
Phi Gamma Delta,https://orgsync.com/121665/chapter,Interfraternity Council,42.4514881,-76.4914453
Phi Kappa Psi,https://orgsync.com/121666/chapter,Interfraternity Council,42.4459575,-76.4916144
Phi Kappa Tau,https://orgsync.com/121668/chapter,Interfraternity Council,42.4535282,-76.4911802
Phi Sigma Kappa,https://orgsync.com/121669/chapter,Interfraternity Council,42.4494606,-76.4922256
Pi Kappa Alpha,https://orgsync.com/121670/chapter,Interfraternity Council,42.4444925,-76.4905024
Pi Kappa Phi,https://orgsync.com/121671/chapter,Interfraternity Council,42.4554078,-76.4906627
Psi Upsilon,https://orgsync.com/121672/chapter,Interfraternity Council,42.4464173,-76.4909314
Seal and Serpent Society,https://orgsync.com/121673/chapter,Interfraternity Council,42.4532908,-76.4876203
Sigma Alpha Mu,https://orgsync.com/121674/chapter,Interfraternity Council,42.4553728,-76.4818937
Sigma Chi,https://orgsync.com/121685/chapter,Interfraternity Council,42.4566836,-76.4933248
Sigma Chi Delta,https://orgsync.com/121675/chapter,Interfraternity Council,42.4542451,-76.483571
Sigma Nu,https://orgsync.com/121677/chapter,Interfraternity Council,42.4516039,-76.4516039
Sigma Phi,https://orgsync.com/121678/chapter,Interfraternity Council,42.4459458,-76.4906946
Sigma Phi Epsilon,https://orgsync.com/121679/chapter,Interfraternity Council,42.4501199,-76.4909934
Sigma Pi,https://orgsync.com/121680/chapter,Interfraternity Council,42.4497427,-76.4902801
Theta Delta Chi,https://orgsync.com/121681/chapter,Interfraternity Council,42.4500504,-76.4898899
Zeta Beta Tau,https://orgsync.com/121682/chapter,Interfraternity Council,42.4540839,-76.4947196
Zeta Psi,https://orgsync.com/121683/chapter,Interfraternity Council,4540978,-76.4840855
Alpha Kappa Alpha,https://orgsync.com/121552/chapter,Multicultural Greek Letter Council,42.483,-76.44702
alpha Kappa Delta Phi,https://orgsync.com/121560/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Alpha Phi Alpha,https://orgsync.com/121553/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Delta Sigma Theta,https://orgsync.com/121561/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Kappa Alpha Psi,https://orgsync.com/121562/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Kappa Phi Lambda,https://orgsync.com/121563/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Lambda Phi Epsilon,https://orgsync.com/121564/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Lambda Pi Chi,https://orgsync.com/124257/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Lambda Theta Alpha,https://orgsync.com/121565/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Lambda Theta Phi,https://orgsync.com/126183/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Lambda Upsilon Lambda,https://orgsync.com/121564/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Omega Phi Beta,https://orgsync.com/126183/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Omega Psi Phi,https://orgsync.com/121567/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Pi Delta Psi,https://orgsync.com/121568/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Sigma Lambda Upsilon,https://orgsync.com/121569/chapter,Multicultural Greek Letter Council,42.483,-76.44702
Alpha Chi Omega,https://orgsync.com/121361/chapter,Panhellenic Association,42.4571348,-76.4891294
Alpha Epsilon Phi,https://orgsync.com/121362/chapter,Panhellenic Association,42.4564305,-76.487534
