Queue Name,Printer Name,Printer Model,Price,Color,DPI,Duplex,Location
aap-mil-1bw,Milstein 1 BW,Xerox Phaser 5550DN,10.00,B/W,600.00,Two-sided,Milstein
aap-mil-1c,Milstein 1 C,Xerox Phaser 7500DT,30.00,Color,600.00,Two-sided,Milstein Hall
aap-mil-1pl,Milstein 1 pl,HP Designjet T1300e,1500.00,Color,600.00,One-sided,Milstein Hall
aap-mil-2bw,Milstein 2 BW,Xerox Phaser 5550DN,10.00,B/W,600.00,Two-sided,Milstein Hall
aap-mil-2c,Milstein 2 C,Xerox Phaser 7500DT,30.00,Color,600.00,Two-sided,Milstein Hall
aap-mil-2pl,Milstein 2 PL,HP Designjet T1300e,1500.00,Color,600.00,One-sided,Milstein Hall
aap-mil-3pl,Milstein 3 pl,HP Designjet T1300e,1500.00,Color,600.00,One-sided,Milstein Hall
aap-mil-4pl,Milstein 4 pl,Oce ColorWave600,1500.00,Color,600.00,One-sided,Milstein Hall
aap-mil-5pl,Milstein 5 pl,Oce ColorWave600,1500.00,Color,600.00,One-sided,Milstein Hall
aap-mil-6pl,Milstein 6 pl,HP Designjet T1100pse 44in,2000.00,Color,600.00,One-sided,Milstein Hall
aap-nyc-1bw,NYC 1 BW,hp LaserJet 9050,10.00,B/W,600.00,Two-sided,
aap-nyc-1c,NYC 1 C,Xerox Phaser 7500DT,30.00,Color,600.00,Two-sided,
aap-nyc-1pl,NYC 1 PL,HP Designjet T1100pse 44in,1500.00,Color,600.00,One-sided,
aap-nyc-2pl,NYC 1 PL2,HP Designjet T1100pse 44in,1500.00,Color,600.00,One-sided,
aap-rand-1bw,Rand 1 BW,hp LaserJet 9050,10.00,B/W,600.00,Two-sided,Rand Hall
aap-rand-1c,Rand 1 C,hp color LaserJet 5550,30.00,Color,600.00,Two-sided,Rand Hall
aap-sib-1bw,Sibley 1 B&W (3rd Floor),Xerox Phaser 5550DN,10.00,B/W,600.00,Two-sided,Sibley Hall
aap-sib-1c,Sibley 1 C (3rd Floor),Xerox Phaser 7500DT,30.00,Color,600.00,Two-sided,Sibley Hall
aap-sib-3bw,Sibley 3 BW (2nd Floor),hp LaserJet 9050,10.00,B/W,600.00,Two-sided,Sibley Hall
aap-sib-3c,Sibley 3 C (2nd Floor),hp color LaserJet 5550,30.00,Color,600.00,Two-sided,Sibley Hall
aap-sib-4bw,Sibley 4 BW (3rd Floor Balcony),hp LaserJet 9050,10.00,B/W,600.00,Two-sided,Sibley Hall
aap-sib-4c,Sibley 4 C (3rd Floor Balcony),hp color LaserJet 5550,10.00,Color,600.00,Two-sided,Sibley Hall
aap-tjaden-1bw,Tjaden 1 bw (2nd Floor),Xerox Phaser 5550DN,10.00,B/W,600.00,Two-sided,Tjaden Hall
aap-tjaden-1c,Tjaden 1 C (2nd Floor),Xerox Phaser 7500DT,30.00,Color,600.00,Two-sided,Tjaden Hall
accel1,ACCEL 2nd Floor Net-Print 1,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,Carpenter Hall
accel2,ACCEL 2nd Floor Net-Print 2,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,Carpenter Hall
aem-netprint-1,Dyson Warren Netprint 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,Warren Hall
aep-netprint1,AEP-NETPRINT-1,Xerox Phaser 4510DT,8.00,B/W,600.00,Two-sided,
afr-lib1,AFRICANA Library Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,Africana Library
annex-lib1,ANNEX Library Net-Print 1,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,Library Annex
appel1,Appel Commons Net-Print 1,HP LaserJet P3010 Series,9.00,B/W,600.00,Two-sided,Appel Commons
becker-nprint1,Carl Becker House Net-Print 1,HP LaserJet P3010 Series,9.00,B/W,600.00,Two-sided,Carl Becker House
becker-nprint2,Carl Becker House Net-Print 2,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,Carl Becker House
bin-color,SHA Net-Print Color,hp color LaserJet 5550D,25.00,Color,600.00,Two-sided,Statler Hall
bin1,BIN Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
bin2,BIN Net-Print 2,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
bin3,BIN Net-Print 3,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
catherwood-lnge,Catherwood lounge,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,Catherwood Library
